run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
Test3-6-20190103-01:28:39-22400,runattr,,,configname,Test3,,,
Test3-6-20190103-01:28:39-22400,runattr,,,datetime,20190103-01:28:39,,,
Test3-6-20190103-01:28:39-22400,runattr,,,experiment,Test3,,,
Test3-6-20190103-01:28:39-22400,runattr,,,inifile,omnetpp.ini,,,
Test3-6-20190103-01:28:39-22400,runattr,,,iterationvars,,,,
Test3-6-20190103-01:28:39-22400,runattr,,,iterationvarsf,,,,
Test3-6-20190103-01:28:39-22400,runattr,,,measurement,,,,
Test3-6-20190103-01:28:39-22400,runattr,,,network,Playground,,,
Test3-6-20190103-01:28:39-22400,runattr,,,processid,22400,,,
Test3-6-20190103-01:28:39-22400,runattr,,,repetition,6,,,
Test3-6-20190103-01:28:39-22400,runattr,,,replication,#6,,,
Test3-6-20190103-01:28:39-22400,runattr,,,resultdir,results,,,
Test3-6-20190103-01:28:39-22400,runattr,,,runnumber,6,,,
Test3-6-20190103-01:28:39-22400,runattr,,,seedset,6,,,
Test3-6-20190103-01:28:39-22400,param,,,**.entry.Q,10s,,,
Test3-6-20190103-01:28:39-22400,param,,,**.owner.threshold,1,,,
Test3-6-20190103-01:28:39-22400,param,,,**.in_mgr.seat_num,10,,,
Test3-6-20190103-01:28:39-22400,param,,,**.in_mgr.ride_time,5s,,,
Test3-6-20190103-01:28:39-22400,param,,,**.entry.meanInterArrival,0.5s,,,
Test3-6-20190103-01:28:39-22400,param,,,**.entry.Q,10s,,,
Test3-6-20190103-01:28:39-22400,param,,,**.owner.threshold,10,,,
Test3-6-20190103-01:28:39-22400,param,,,**.entry.Q,10s,,,
Test3-6-20190103-01:28:39-22400,param,,,**.owner.threshold,1,,,
Test3-6-20190103-01:28:39-22400,param,,,**.in_mgr.seat_num,10,,,
Test3-6-20190103-01:28:39-22400,param,,,**.in_mgr.ride_time,5s,,,
Test3-6-20190103-01:28:39-22400,param,,,**.entry.meanInterArrival,0.5s,,,
Test3-6-20190103-01:28:39-22400,param,,,**.entry.Q,10s,,,
Test3-6-20190103-01:28:39-22400,param,,,**.owner.threshold,10,,,
